Mes;Semana;Dia;Hora;Hora (24h);Cosumo (W);Velocidad viento;Generación Eólica;Irradiencia FV (W/m2);Irradiencia (90º) FV (W/m2);Generación (90º) FV (W);Generación (comvencional) FV (W);Generación Total (W);Excedente (W);Batería (W);Nuevo Consumo;Último Consumo;Nuevo Excedente;;;;;;;;;
;;;8199;14:00:00;2642;5,5477943;0;831,54;587,1;8514,9696;4989,24;4989,24;2347,24;37047;0;0;0;;;;;;;;;
;;;8200;15:00:00;492;4,687974;0;365,73;389,23;3745,0752;2194,38;2194,38;1702,38;38749;0;0;451,39;;;;;;;;;
;;;8201;16:00:00;52;4,512484;0;236,21;350,58;2418,7904;1417,26;1417,26;1365,26;40000;0;0;1365,26;;;;;;;;;
;;;8202;17:00:00;52;4,4785666;0;0;0;0;0;0;0;39948;52;0;0;;;;;;;;;
;;;8203;18:00:00;632,2;4,2544446;0;0;0;0;0;0;0;39316;632,2;0;0;;;;;;;;;
;;;8204;19:00:00;1343,7;3,424361;0;0;0;0;0;0;0;37972;1343,7;0;0;;;;;;;;;
;;;8205;20:00:00;3239,45;3,0007377;0;0;0;0;0;0;0;34733;3239,45;0;0;;;;;;;;;
;;;8206;21:00:00;5495,45;2,8794172;0;0;0;0;0;0;0;29237;5495,45;0;0;;;;;;;;;
;;;8207;22:00:00;625,45;4,0536494;0;0;0;0;0;0;0;28612;625,45;0;0;;;;;;;;;
;;;8208;23:00:00;815,45;4,068779;0;0;0;0;0;0;0;27796;815,45;0;0;;;;;;;;;
;;Domingo;8209;0:00:00;757,2;3,2307808;0;0;0;0;0;0;0;27039;757,2;0;0;;;;;;;;;
;;;8210;1:00:00;362;3,309076;0;0;0;0;0;0;0;26677;362;0;0;;;;;;;;;
;;;8211;2:00:00;52;3,9270315;0;0;0;0;0;0;0;26625;52;0;0;;;;;;;;;
;;;8212;3:00:00;52;4,463041;0;0;0;0;0;0;0;26573;52;0;0;;;;;;;;;
;;;8213;4:00:00;52;4,603228;0;0;0;0;0;0;0;26521;52;0;0;;;;;;;;;
;;;8214;5:00:00;52;4,8860497;0;0;0;0;0;0;0;26469;52;0;0;;;;;;;;;
;;;8215;6:00:00;399,6;5,293268;0;0;0;0;0;0;0;26070;399,6;0;0;;;;;;;;;
;;;8216;7:00:00;2365,45;5,577732;0;0;0;0;0;0;0;23704;2365,45;0;0;;;;;;;;;
;;;8217;8:00:00;2160,45;5,780383;0;118,99;286,08;1218,4576;713,94;713,94;0;22258;1446,51;0;0;;;;;;;;;
;;;8218;9:00:00;1311,81;5,4735475;0;378,97;482,4;3880,6528;2273,82;2273,82;962,01;23220;0;0;0;;;;;;;;;
;;;8219;10:00:00;1676,25;5,9779453;0;599,52;426,17;6139,0848;3597,12;3597,12;1920,87;25140;0;0;0;;;;;;;;;
;;;8220;11:00:00;232;6,6303935;0;762,67;270,14;7809,7408;4576,02;4576,02;4344,02;29484;0;0;0;;;;;;;;;
;;;8221;12:00:00;52;6,6845875;0;868,25;179,81;8890,88;5209,5;5209,5;5157,5;34642;0;0;0;;;;;;;;;
;;;8222;13:00:00;2755;6,922805;0;912,81;401,6;9347,1744;5476,86;5476,86;2721,86;37364;0;0;85,66;;;;;;;;;
;;;8223;14:00:00;2642;7,2223825;0;847,66;595,34;8680,0384;5085,96;5085,96;2443,96;39808;0;0;2251,72;;;;;;;;;
;;;8224;15:00:00;492;6,8182034;0;727,46;738,73;7449,1904;4364,76;4364,76;3872,76;40000;0;0;3872,76;;;;;;;;;
;;;8225;16:00:00;52;6,3685484;0;587,68;887,11;6017,8432;3526,08;3526,08;3474,08;40000;0;0;3474,08;;;;;;;;;
;;;8226;17:00:00;52;6,4496617;0;0;0;0;0;0;0;39948;52;0;0;;;;;;;;;
;;;8227;18:00:00;632,2;6,6013846;0;0;0;0;0;0;0;39316;632,2;0;0;;;;;;;;;
;;;8228;19:00:00;1343,7;6,4089613;0;0;0;0;0;0;0;37972;1343,7;0;0;;;;;;;;;
;;;8229;20:00:00;3239,45;5,8559036;0;0;0;0;0;0;0;34733;3239,45;0;0;;;;;;;;;
;;;8230;21:00:00;5495,45;5,104416;0;0;0;0;0;0;0;29237;5495,45;0;0;;;;;;;;;
;;;8231;22:00:00;625,45;4,705143;0;0;0;0;0;0;0;28612;625,45;0;0;;;;;;;;;
;;;8232;23:00:00;815,45;5,5259256;0;0;0;0;0;0;0;27796;815,45;0;0;;;;;;;;;
;50;Lunes;8233;0:00:00;654,6;6,315053;0;0;0;0;0;0;0;27142;654,6;0;0;;;;;;;;;
;;;8234;1:00:00;52;6,9687676;0;0;0;0;0;0;0;27090;52;0;0;;;;;;;;;
;;;8235;2:00:00;52;7,146778;0;0;0;0;0;0;0;27038;52;0;0;;;;;;;;;
;;;8236;3:00:00;52;7,2257524;0;0;0;0;0;0;0;26986;52;0;0;;;;;;;;;
;;;8237;4:00:00;52;7,102552;0;0;0;0;0;0;0;26934;52;0;0;;;;;;;;;
;;;8238;5:00:00;52;6,90621;0;0;0;0;0;0;0;26882;52;0;0;;;;;;;;;
;;;8239;6:00:00;1894,41;6,618653;0;0;0;0;0;0;0;24987;1894,41;0;0;;;;;;;;;
;;;8240;7:00:00;2590,45;6,0326905;0;0;0;0;0;0;0;22397;2590,45;0;0;;;;;;;;;
;;;8241;8:00:00;1620,45;5,5550747;0;119,74;292,34;1226,1376;718,44;718,44;0;21495;902,01;0;0;;;;;;;;;
;;;8242;9:00:00;113,56;5,253877;0;387,2;494,86;3964,928;2323,2;2323,2;2209,64;23704;0;0;0;;;;;;;;;
;;;8243;10:00:00;52;6,4951296;0;611,36;434,54;6260,3264;3668,16;3668,16;3616,16;27321;0;0;0;;;;;;;;;
;;;8244;11:00:00;52;6,720647;0;776,82;273,68;7954,6368;4660,92;4660,92;4608,92;31930;0;0;0;;;;;;;;;
;;;8245;12:00:00;52;5,8771267;0;878,21;182,45;8992,8704;5269,26;5269,26;5217,26;37147;0;0;2364,07;;;;;;;;;
;;;8246;13:00:00;2788;5,125565;0;931,39;405,2;9537,4336;5588,34;5588,34;2800,34;39947;0;0;2747,49;;;;;;;;;
;;;8247;14:00:00;362;4,8486457;0;891,27;616,59;9126,6048;5347,62;5347,62;4985,62;40000;0;0;4985,62;;;;;;;;;
;;;8248;15:00:00;492;3,9879506;0;749,31;758,1;7672,9344;4495,86;4495,86;4003,86;40000;0;0;4003,86;;;;;;;;;
;;;8249;16:00:00;52;3,1996038;0;625,14;940,78;6401,4336;3750,84;3750,84;3698,84;40000;0;0;3698,84;;;;;;;;;
;;;8250;17:00:00;52;3,285958;0;0;0;0;0;0;0;39948;52;0;0;;;;;;;;;
;;;8251;18:00:00;1342,2;3,6347713;0;0;0;0;0;0;0;38606;1342,2;0;0;;;;;;;;;
;;;8252;19:00:00;3055,45;3,654568;0;0;0;0;0;0;0;35550;3055,45;0;0;;;;;;;;;
;;;8253;20:00:00;3419,45;3,4555223;0;0;0;0;0;0;0;32131;3419,45;0;0;;;;;;;;;
;;;8254;21:00:00;3547,15;3,2477617;0;0;0;0;0;0;0;28584;3547,15;0;0;;;;;;;;;
;;;8255;22:00:00;625,45;3,3629475;0;0;0;0;0;0;0;27958;625,45;0;0;;;;;;;;;
;;;8256;23:00:00;815,45;3,2138822;0;0;0;0;0;0;0;27143;815,45;0;0;;;;;;;;;
;;Martes;8257;0:00:00;654,6;2,7534225;0;0;0;0;0;0;0;26488;654,6;0;0;;;;;;;;;
;;;8258;1:00:00;52;2,176431;0;0;0;0;0;0;0;26436;52;0;0;;;;;;;;;
;;;8259;2:00:00;52;1,886567;0;0;0;0;0;0;0;26384;52;0;0;;;;;;;;;
;;;8260;3:00:00;52;1,938824;0;0;0;0;0;0;0;26332;52;0;0;;;;;;;;;
;;;8261;4:00:00;52;2,2970622;0;0;0;0;0;0;0;26280;52;0;0;;;;;;;;;
;;;8262;5:00:00;52;2,50685;0;0;0;0;0;0;0;26228;52;0;0;;;;;;;;;
;;;8263;6:00:00;1894,41;2,4073806;0;0;0;0;0;0;0;24334;1894,41;0;0;;;;;;;;;
;;;8264;7:00:00;2590,45;2,3225067;0;0;0;0;0;0;0;21743;2590,45;0;0;;;;;;;;;
;;;8265;8:00:00;1620,45;2,6472812;0;112,18;273,13;1148,7232;673,08;673,08;0;20796;947,37;0;0;;;;;;;;;
;;;8266;9:00:00;113,56;2,3479867;0;360,18;463,31;3688,2432;2161,08;2161,08;2047,52;22844;0;0;0;;;;;;;;;
;;;8267;10:00:00;52;1,8017365;0;582,25;424,69;5962,24;3493,5;3493,5;3441,5;26285;0;0;0;;;;;;;;;
;;;8268;11:00:00;52;1,2681383;0;728,59;282,9;7460,7616;4371,54;4371,54;4319,54;30605;0;0;0;;;;;;;;;
;;;8269;12:00:00;52;0,6658364;0;830,44;195;8503,7056;4982,64;4982,64;4930,64;35535;0;0;465,86;;;;;;;;;
;;;8270;13:00:00;2788;0,7157038;0;873,39;401,31;8943,5136;5240,34;5240,34;2452,34;37988;0;0;439,9;;;;;;;;;
;;;8271;14:00:00;362;1,274557;0;825,27;584,86;8450,7648;4951,62;4951,62;4589,62;40000;0;0;4589,62;;;;;;;;;
;;;8272;15:00:00;492;2,0531025;0;740,33;746,81;7580,9792;4441,98;4441,98;3949,98;40000;0;0;3949,98;;;;;;;;;
;;;8273;16:00:00;52;2,257622;0;332,43;495,74;3404,0832;1994,58;1994,58;1942,58;40000;0;0;1942,58;;;;;;;;;
;;;8274;17:00:00;52;1,7005805;0;0;0;0;0;0;0;39948;52;0;0;;;;;;;;;
;;;8275;18:00:00;1342,2;1,5248721;0;0;0;0;0;0;0;38606;1342,2;0;0;;;;;;;;;
;;;8276;19:00:00;3055,45;1,4498862;0;0;0;0;0;0;0;35550;3055,45;0;0;;;;;;;;;
;;;8277;20:00:00;3419,45;1,4359318;0;0;0;0;0;0;0;32131;3419,45;0;0;;;;;;;;;
;;;8278;21:00:00;3547,15;1,3119841;0;0;0;0;0;0;0;28584;3547,15;0;0;;;;;;;;;
;;;8279;22:00:00;625,45;0,99764585;0;0;0;0;0;0;0;27958;625,45;0;0;;;;;;;;;
;;;8280;23:00:00;815,45;1,1329494;0;0;0;0;0;0;0;27143;815,45;0;0;;;;;;;;;
;;Miércoles;8281;0:00:00;654,6;0,99062973;0;0;0;0;0;0;0;26488;654,6;0;0;;;;;;;;;
;;;8282;1:00:00;52;0,95455515;0;0;0;0;0;0;0;26436;52;0;0;;;;;;;;;
;;;8283;2:00:00;52;0,81764334;0;0;0;0;0;0;0;26384;52;0;0;;;;;;;;;
;;;8284;3:00:00;52;0,77418387;0;0;0;0;0;0;0;26332;52;0;0;;;;;;;;;
;;;8285;4:00:00;52;0,8576758;0;0;0;0;0;0;0;26280;52;0;0;;;;;;;;;
;;;8286;5:00:00;52;1,3021268;0;0;0;0;0;0;0;26228;52;0;0;;;;;;;;;
;;;8287;6:00:00;1894,41;1,6770291;0;0;0;0;0;0;0;24334;1894,41;0;0;;;;;;;;;
;;;8288;7:00:00;2590,45;1,9652759;0;0;0;0;0;0;0;21743;2590,45;0;0;;;;;;;;;
;;;8289;8:00:00;1620,45;1,8561062;0;90,46;207,31;926,3104;542,76;542,76;0;20666;1077,69;0;0;;;;;;;;;
;;;8290;9:00:00;113,56;1,8146116;0;353,75;456,93;3622,4;2122,5;2122,5;2008,94;22675;0;0;0;;;;;;;;;
;;;8291;10:00:00;52;3,1068068;0;256,37;250,83;2625,2288;1538,22;1538,22;1486,22;24161;0;0;0;;;;;;;;;
;;;8292;11:00:00;52;3,9817615;0;720,51;281,58;7378,0224;4323,06;4323,06;4271,06;28432;0;0;0;;;;;;;;;
;;;8293;12:00:00;52;4,6172676;0;340,17;253,89;3483,3408;2041,02;2041,02;1989,02;30421;0;0;0;;;;;;;;;
;;;8294;13:00:00;2788;4,515092;0;253,36;242,33;2594,4064;1520,16;1520,16;0;29153;1267,84;0;0;;;;;;;;;
;;;8295;14:00:00;362;4,606882;0;170,98;184;1750,8352;1025,88;1025,88;663,88;29817;0;0;0;;;;;;;;;
;;;8296;15:00:00;492;4,3807263;0;274,93;294,76;2815,2832;1649,58;1649,58;1157,58;30975;0;0;0;;;;;;;;;
;;;8297;16:00:00;52;3,8403113;0;321,08;476,93;3287,8592;1926,48;1926,48;1874,48;32849;0;0;0;;;;;;;;;
;;;8298;17:00:00;52;3,5637724;0;0;0;0;0;0;0;32797;52;0;0;;;;;;;;;
;;;8299;18:00:00;1342,2;3,7446396;0;0;0;0;0;0;0;31455;1342,2;0;0;;;;;;;;;
;;;8300;19:00:00;3055,45;3,7007987;0;0;0;0;0;0;0;28399;3055,45;0;0;;;;;;;;;
;;;8301;20:00:00;3419,45;3,3808653;0;0;0;0;0;0;0;24980;3419,45;0;0;;;;;;;;;
;;;8302;21:00:00;3547,15;3,1298387;0;0;0;0;0;0;0;21433;3547,15;0;0;;;;;;;;;
;;;8303;22:00:00;625,45;3,1264446;0;0;0;0;0;0;0;20807;625,45;0;0;;;;;;;;;
;;;8304;23:00:00;815,45;2,9793782;0;0;0;0;0;0;0;19992;815,45;0;0;;;;;;;;;
;;Jueves;8305;0:00:00;654,6;2,5968637;0;0;0;0;0;0;0;19337;654,6;0;0;;;;;;;;;
;;;8306;1:00:00;52;2,4926834;0;0;0;0;0;0;0;19285;52;0;0;;;;;;;;;
;;;8307;2:00:00;52;2,5883865;0;0;0;0;0;0;0;19233;52;0;0;;;;;;;;;
;;;8308;3:00:00;52;2,789659;0;0;0;0;0;0;0;19181;52;0;0;;;;;;;;;
;;;8309;4:00:00;52;2,5589468;0;0;0;0;0;0;0;19129;52;0;0;;;;;;;;;
;;;8310;5:00:00;52;2,3279366;0;0;0;0;0;0;0;19077;52;0;0;;;;;;;;;
;;;8311;6:00:00;1894,41;2,256991;0;0;0;0;0;0;0;17183;1894,41;0;0;;;;;;;;;
;;;8312;7:00:00;2590,45;2,3560638;0;0;0;0;0;0;0;14592;2590,45;0;0;;;;;;;;;
;;;8313;8:00:00;1620,45;2,402696;0;100,8;244,57;1032,192;604,8;604,8;0;13577;1015,65;0;0;;;;;;;;;
;;;8314;9:00:00;113,56;2,2254915;0;255,14;327,96;2612,6336;1530,84;1530,84;1417,28;14994;0;0;0;;;;;;;;;
;;;8315;10:00:00;52;2,3521698;0;526,05;402,81;5386,752;3156,3;3156,3;3104,3;18098;0;0;0;;;;;;;;;
;;;8316;11:00:00;52;3,6387258;0;731,03;277,9;7485,7472;4386,18;4386,18;4334,18;22433;0;0;0;;;;;;;;;
;;;8317;12:00:00;52;3,9995277;0;348,78;253,48;3571,5072;2092,68;2092,68;2040,68;24473;0;0;0;;;;;;;;;
;;;8318;13:00:00;2788;3,6333168;0;395,84;303,21;4053,4016;2375,04;2375,04;0;24060;412,96;0;0;;;;;;;;;
;;;8319;14:00:00;362;3,1031244;0;628,15;481,44;6432,256;3768,9;3768,9;3406,9;27467;0;0;0;;;;;;;;;
;;;8320;15:00:00;492;2,5090654;0;220,57;238,76;2258,6368;1323,42;1323,42;831,42;28299;0;0;0;;;;;;;;;
;;;8321;16:00:00;52;1,6155784;0;29,27;33,74;299,7248;175,62;175,62;123,62;28422;0;0;0;;;;;;;;;
;;;8322;17:00:00;52;1,2059064;0;0;0;0;0;0;0;28370;52;0;0;;;;;;;;;
;;;8323;18:00:00;1342,2;1,6372588;0;0;0;0;0;0;0;27028;1342,2;0;0;;;;;;;;;
;;;8324;19:00:00;3055,45;1,8746644;0;0;0;0;0;0;0;23973;3055,45;0;0;;;;;;;;;
;;;8325;20:00:00;3419,45;1,7068652;0;0;0;0;0;0;0;20553;3419,45;0;0;;;;;;;;;
;;;8326;21:00:00;3547,15;1,5160974;0;0;0;0;0;0;0;17006;3547,15;0;0;;;;;;;;;
;;;8327;22:00:00;625,45;1,7062421;0;0;0;0;0;0;0;16381;625,45;0;0;;;;;;;;;
;;;8328;23:00:00;815,45;1,5662777;0;0;0;0;0;0;0;15565;815,45;0;0;;;;;;;;;
;;Viernes;8329;0:00:00;654,6;1,618563;0;0;0;0;0;0;0;14910;654,6;0;0;;;;;;;;;
;;;8330;1:00:00;52;1,7692953;0;0;0;0;0;0;0;14858;52;0;0;;;;;;;;;
;;;8331;2:00:00;52;1,6863804;0;0;0;0;0;0;0;14806;52;0;0;;;;;;;;;
;;;8332;3:00:00;52;2,111718;0;0;0;0;0;0;0;14754;52;0;0;;;;;;;;;
;;;8333;4:00:00;52;2,3702357;0;0;0;0;0;0;0;14702;52;0;0;;;;;;;;;
;;;8334;5:00:00;52;2,3550057;0;0;0;0;0;0;0;14650;52;0;0;;;;;;;;;
;;;8335;6:00:00;1894,41;2,2940242;0;0;0;0;0;0;0;12756;1894,41;0;0;;;;;;;;;
;;;8336;7:00:00;2590,45;2,218618;0;0;0;0;0;0;0;10166;2590,45;0;0;;;;;;;;;
;;;8337;8:00:00;1620,45;2,288297;0;99,28;241,88;1016,6272;595,68;595,68;0;9141;1024,77;0;0;;;;;;;;;
;;;8338;9:00:00;113,56;2,0005853;0;365,2;475,18;3739,648;2191,2;2191,2;2077,64;11218;0;0;0;;;;;;;;;
;;;8339;10:00:00;52;1,2897835;0;587,04;427,8;6011,2896;3522,24;3522,24;3470,24;14689;0;0;0;;;;;;;;;
;;;8340;11:00:00;52;0,72836894;0;655,3;291,58;6710,272;3931,8;3931,8;3879,8;18569;0;0;0;;;;;;;;;
;;;8341;12:00:00;52;1,2150317;0;306,97;247,18;3143,3728;1841,82;1841,82;1789,82;20358;0;0;0;;;;;;;;;
;;;8342;13:00:00;2788;1,7195317;0;604,21;361,59;6187,1104;3625,26;3625,26;837,26;21196;0;0;0;;;;;;;;;
;;;8343;14:00:00;362;1,43039;0;460,89;384,82;4719,5136;2765,34;2765,34;2403,34;23599;0;0;0;;;;;;;;;
;;;8344;15:00:00;492;1,3136061;0;337,42;356,55;3455,1808;2024,52;2024,52;1532,52;25131;0;0;0;;;;;;;;;
;;;8345;16:00:00;52;1,8014863;0;139,39;197,05;1427,3536;836,34;836,34;784,34;25916;0;0;0;;;;;;;;;
;;;8346;17:00:00;52;2,2364097;0;0;0;0;0;0;0;25864;52;0;0;;;;;;;;;
;;;8347;18:00:00;1342,2;1,8854518;0;0;0;0;0;0;0;24522;1342,2;0;0;;;;;;;;;
;;;8348;19:00:00;3055,45;1,946421;0;0;0;0;0;0;0;21466;3055,45;0;0;;;;;;;;;
;;;8349;20:00:00;3419,45;1,7255478;0;0;0;0;0;0;0;18047;3419,45;0;0;;;;;;;;;
;;;8350;21:00:00;3547,15;2,0572088;0;0;0;0;0;0;0;14500;3547,15;0;0;;;;;;;;;
;;;8351;22:00:00;625,45;2,400057;0;0;0;0;0;0;0;13874;625,45;0;0;;;;;;;;;
;;;8352;23:00:00;815,45;3,0085616;0;0;0;0;0;0;0;13059;815,45;0;0;;;;;;;;;
;;Sábado;8353;0:00:00;757,2;3,4692082;0;0;0;0;0;0;0;12301;757,2;0;0;;;;;;;;;
;;;8354;1:00:00;362;3,4956608;0;0;0;0;0;0;0;11939;362;0;0;;;;;;;;;
;;;8355;2:00:00;52;3,5712545;0;0;0;0;0;0;0;11887;52;0;0;;;;;;;;;
;;;8356;3:00:00;52;3,6490817;0;0;0;0;0;0;0;11835;52;0;0;;;;;;;;;
;;;8357;4:00:00;52;3,834173;0;0;0;0;0;0;0;11783;52;0;0;;;;;;;;;
;;;8358;5:00:00;52;4,000271;0;0;0;0;0;0;0;11731;52;0;0;;;;;;;;;
;;;8359;6:00:00;399,6;4,057179;0;0;0;0;0;0;0;11332;399,6;0;0;;;;;;;;;
;;;8360;7:00:00;2365,45;4,137053;0;0;0;0;0;0;0;8966;2365,45;0;0;;;;;;;;;
;;;8361;8:00:00;2160,45;4,3031754;0;110,64;281,19;1132,9536;663,84;663,84;0;7470;1496,61;0;0;;;;;;;;;
;;;8362;9:00:00;1311,81;4,1534553;0;362,35;473,62;3710,464;2174,1;2174,1;862,29;8332;0;0;0;;;;;;;;;
;;;8363;10:00:00;1676,25;3,8057823;0;584,23;427,83;5982,5152;3505,38;3505,38;1829,13;10161;0;0;0;;;;;;;;;
;;;8364;11:00:00;232;3,6496437;0;282,21;245,63;2889,8304;1693,26;1693,26;1461,26;11622;0;0;0;;;;;;;;;
;;;8365;12:00:00;52;3,0275214;0;795,41;195,77;8144,9984;4772,46;4772,46;4720,46;16343;0;0;0;;;;;;;;;
;;;8366;13:00:00;2755;2,4126084;0;682,51;375,35;6988,9024;4095,06;4095,06;1340,06;17683;0;0;0;;;;;;;;;
;;;8367;14:00:00;2642;1,9668676;0;722,82;528,69;7401,6768;4336,92;4336,92;1694,92;19378;0;0;0;;;;;;;;;
;;;8368;15:00:00;492;1,1053208;0;126,56;141,54;1295,9744;759,36;759,36;267,36;19645;0;0;0;;;;;;;;;
;;;8369;16:00:00;52;0,9825664;0;415,3;615,23;4252,672;2491,8;2491,8;2439,8;22085;0;0;0;;;;;;;;;
;;;8370;17:00:00;52;1,7582312;0;0;0;0;0;0;0;22033;52;0;0;;;;;;;;;
;;;8371;18:00:00;632,2;1,733653;0;0;0;0;0;0;0;21401;632,2;0;0;;;;;;;;;
;;;8372;19:00:00;1343,7;1,7958395;0;0;0;0;0;0;0;20057;1343,7;0;0;;;;;;;;;
;;;8373;20:00:00;3239,45;2,553833;0;0;0;0;0;0;0;16818;3239,45;0;0;;;;;;;;;
;;;8374;21:00:00;5495,45;3,2055328;0;0;0;0;0;0;0;11322;5495,45;0;0;;;;;;;;;
;;;8375;22:00:00;625,45;3,6305125;0;0;0;0;0;0;0;10697;625,45;0;0;;;;;;;;;
;;;8376;23:00:00;815,45;3,9722402;0;0;0;0;0;0;0;9881;815,45;0;0;;;;;;;;;
;;Domingo;8377;0:00:00;757,2;4,203453;0;0;0;0;0;0;0;9124;757,2;0;0;;;;;;;;;
;;;8378;1:00:00;362;4,3831983;0;0;0;0;0;0;0;8762;362;0;0;;;;;;;;;
;;;8379;2:00:00;52;4,3924565;0;0;0;0;0;0;0;8710;52;0;0;;;;;;;;;
;;;8380;3:00:00;52;4,262636;0;0;0;0;0;0;0;8658;52;0;0;;;;;;;;;
;;;8381;4:00:00;52;3,9713979;0;0;0;0;0;0;0;8606;52;0;0;;;;;;;;;
;;;8382;5:00:00;52;3,601848;0;0;0;0;0;0;0;8554;52;0;0;;;;;;;;;
;;;8383;6:00:00;399,6;3,2511272;0;0;0;0;0;0;0;8155;399,6;0;0;;;;;;;;;
;;;8384;7:00:00;2365,45;3,081587;0;0;0;0;0;0;0;5789;2365,45;0;0;;;;;;;;;
;;;8385;8:00:00;2160,45;3,4148242;0;96,03;235,78;983,3472;576,18;576,18;0;4205;1584,27;0;0;;;;;;;;;
;;;8386;9:00:00;1311,81;3,392208;0;365,16;479,59;3739,2384;2190,96;2190,96;879,15;5084;0;0;0;;;;;;;;;
;;;8387;10:00:00;1676,25;3,4965956;0;593,13;435,18;6073,6512;3558,78;3558,78;1882,53;6967;0;0;0;;;;;;;;;
;;;8388;11:00:00;232;3,3861723;0;779,43;278,48;7981,3632;4676,58;4676,58;4444,58;11411;0;0;0;;;;;;;;;
;;;8389;12:00:00;52;2,7513978;0;893,31;161,17;9147,4944;5359,86;5359,86;5307,86;16719;0;0;0;;;;;;;;;
;;;8390;13:00:00;2755;2,0697172;0;948,41;394,1;9711,7184;5690,46;5690,46;2935,46;19654;0;0;0;;;;;;;;;
;;;8391;14:00:00;2642;1,5777625;0;867,61;595,03;8884,3264;5205,66;5205,66;2563,66;22218;0;0;0;;;;;;;;;
;;;8392;15:00:00;492;1,174039;0;751,59;747,56;7696,2816;4509,54;4509,54;4017,54;26236;0;0;0;;;;;;;;;
;;;8393;16:00:00;52;1,3112423;0;624,07;922,56;6390,4768;3744,42;3744,42;3692,42;29928;0;0;0;;;;;;;;;
;;;8394;17:00:00;52;1,8393868;0;0;0;0;0;0;0;29876;52;0;0;;;;;;;;;
;;;8395;18:00:00;632,2;1,4819087;0;0;0;0;0;0;0;29244;632,2;0;0;;;;;;;;;
;;;8396;19:00:00;1343,7;0,71539855;0;0;0;0;0;0;0;27900;1343,7;0;0;;;;;;;;;
;;;8397;20:00:00;3239,45;0,8304179;0;0;0;0;0;0;0;24661;3239,45;0;0;;;;;;;;;
;;;8398;21:00:00;5495,45;1,2098198;0;0;0;0;0;0;0;19165;5495,45;0;0;;;;;;;;;
;;;8399;22:00:00;625,45;1,65255;0;0;0;0;0;0;0;18540;625,45;0;0;;;;;;;;;
;;;8400;23:00:00;815,45;2,1168427;0;0;0;0;0;0;0;17724;815,45;0;0;;;;;;;;;
;51;Lunes;8401;0:00:00;654,6;2,5507438;0;0;0;0;0;0;0;17070;654,6;0;0;;;;;;;;;
;;;8402;1:00:00;52;2,799395;0;0;0;0;0;0;0;17018;52;0;0;;;;;;;;;
;;;8403;2:00:00;52;2,7321754;0;0;0;0;0;0;0;16966;52;0;0;;;;;;;;;
;;;8404;3:00:00;52;2,640635;0;0;0;0;0;0;0;16914;52;0;0;;;;;;;;;
;;;8405;4:00:00;52;2,4199321;0;0;0;0;0;0;0;16862;52;0;0;;;;;;;;;
;;;8406;5:00:00;52;2,240978;0;0;0;0;0;0;0;16810;52;0;0;;;;;;;;;
;;;8407;6:00:00;1894,41;2,5089605;0;0;0;0;0;0;0;14915;1894,41;0;0;;;;;;;;;
;;;8408;7:00:00;2590,45;2,586278;0;0;0;0;0;0;0;12325;2590,45;0;0;;;;;;;;;
;;;8409;8:00:00;1620,45;2,7709634;0;101,92;261,11;1043,6608;611,52;611,52;0;11316;1008,93;0;0;;;;;;;;;
;;;8410;9:00:00;113,56;2,610295;0;349,91;461,52;3583,0784;2099,46;2099,46;1985,9;13302;0;0;0;;;;;;;;;
;;;8411;10:00:00;52;2,2009652;0;587,19;429,84;6012,8256;3523,14;3523,14;3471,14;16773;0;0;0;;;;;;;;;
;;;8412;11:00:00;52;1,7794925;0;757,76;276,03;7759,4624;4546,56;4546,56;4494,56;21268;0;0;0;;;;;;;;;
;;;8413;12:00:00;52;1,8026104;0;887,03;152,13;9083,1872;5322,18;5322,18;5270,18;26538;0;0;0;;;;;;;;;
;;;8414;13:00:00;2788;1,9177927;0;922,7;384,74;9448,448;5536,2;5536,2;2748,2;29286;0;0;0;;;;;;;;;
;;;8415;14:00:00;362;1,9362774;0;864,79;587,33;8855,4496;5188,74;5188,74;4826,74;34113;0;0;0;;;;;;;;;
;;;8416;15:00:00;492;1,7155644;0;724,76;720,17;7421,5424;4348,56;4348,56;3856,56;37969;0;0;1825,78;;;;;;;;;
;;;8417;16:00:00;52;1,6097891;0;492,52;726,66;5043,4048;2955,12;2955,12;2903,12;40000;0;0;2903,12;;;;;;;;;
;;;8418;17:00:00;52;2,3511317;0;0;0;0;0;0;0;39948;52;0;0;;;;;;;;;
;;;8419;18:00:00;1342,2;2,4904394;0;0;0;0;0;0;0;38606;1342,2;0;0;;;;;;;;;
;;;8420;19:00:00;3055,45;2,2011585;0;0;0;0;0;0;0;35550;3055,45;0;0;;;;;;;;;
;;;8421;20:00:00;3419,45;1,6700408;0;0;0;0;0;0;0;32131;3419,45;0;0;;;;;;;;;
;;;8422;21:00:00;3547,15;1,5870669;0;0;0;0;0;0;0;28584;3547,15;0;0;;;;;;;;;
;;;8423;22:00:00;625,45;1,473756;0;0;0;0;0;0;0;27958;625,45;0;0;;;;;;;;;
;;;8424;23:00:00;815,45;2,0453916;0;0;0;0;0;0;0;27143;815,45;0;0;;;;;;;;;
;;Martes;8425;0:00:00;654,6;2,435241;0;0;0;0;0;0;0;26488;654,6;0;0;;;;;;;;;
;;;8426;1:00:00;52;2,441776;0;0;0;0;0;0;0;26436;52;0;0;;;;;;;;;
;;;8427;2:00:00;52;2,3250096;0;0;0;0;0;0;0;26384;52;0;0;;;;;;;;;
